Clients,Farms,Fields,Machine Name,Equipment,Operators,Varieties,Work,Crop Type,Area Harvested,Unit,Moisture,Unit,Dry Yield,Unit,Total Dry Yield,Unit,Wet Weight,Unit,Total Wet Weight,Unit,Speed,Unit,Harvest Time,Unit,Productivity,Unit,Total Fuel,Unit,Fuel Rate (Area),Unit,Fuel Rate (Time),Unit,Throughput (Wet),Unit,Fuel Efficiency,Unit,Crude Protein,Unit,Metabolizable Energy,Unit,Dry Matter,Unit,Neutral Detergent Fiber,Unit,Acid Detergent Fiber,Unit,Length Of Cut,Unit,Inoculant Dosing High Rate,Unit,Sugar,Unit,Crude Ash,Unit,Crude Fiber,Unit,Crude Fat,Unit,First Harvested,Last Harvested
Mcdonald,kelloe mains,bastle moor,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,1ST Cut,"Forage Harvesting Grass Forage - May 12, 2022",Grass Forage,15.67404098,ha,53.58665429,%,6.655322351,t/ha,104.3157953,t,14.33924284,t/ha,224.7538799,t,12.43594021,km/hr,4839.056,sec,11.6606519,ha/hr,122.7866517,l,7.833758495,l/ha,91.34673087,l/hr,167.2049192,t/hr,0.849569508,t/l,14.52902373,%,10.43747997,MJ/kg,46.41334571,%,46.65455193,%,28.68180886,%,16.9926,mm,---,---,12.86067037,%,9.104909545,%,24.58722024,%,2.879494427,%,"May 12, 2022","May 12, 2022"
Mcdonald,kelloe mains,bastle moor,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,2ND CUT,"Forage Harvesting Grass Forage - Jun 14, 2022",Grass Forage,16.1529869,ha,55.20564762,%,2.15487381,t/ha,34.80764843,t,4.810592621,t/ha,77.70543961,t,13.86110214,km/hr,3528.883,sec,16.4785154,ha/hr,72.43956228,l,4.484592399,l/ha,73.89942489,l/hr,79.27142458,t/hr,0.480506057,t/l,14.58140813,%,10.69687254,MJ/kg,44.79435238,%,42.32036457,%,24.15584455,%,15.9766,mm,---,---,15.26458233,%,9.699929434,%,22.40884254,%,2.853459857,%,"Jun 14, 2022","Jun 14, 2022"
Mcdonald,kelloe mains,bastle moor,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,3RD CUT,"Forage Harvesting Grass Forage - Jul 12, 2022",Grass Forage,16.50328856,ha,69.66795849,%,2.752255447,t/ha,45.42126583,t,9.073756035,t/ha,149.7468141,t,12.83473863,km/hr,3934.109,sec,15.10172667,ha/hr,95.60628765,l,5.793165848,l/ha,87.48680719,l/hr,137.0293835,t/hr,0.475086597,t/l,14.07814736,%,---,---,30.33204151,%,46.75350231,%,26.13719117,%,12.9794,mm,0,l/t,13.47115031,%,7.806897783,%,19.455897,%,---,---,"Jul 12, 2022","Jul 12, 2022"
Mcdonald,kelloe mains,bastle moor,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,4TH CUT,"Forage Harvesting Grass Forage - Aug 25, 2022",Grass Forage,16.43295837,ha,61.35424401,%,1.361272137,t/ha,22.36972836,t,3.522436299,t/ha,57.88404906,t,16.63736757,km/hr,3019.68,sec,19.59103287,ha/hr,58.30254981,l,3.547903457,l/ha,69.50709324,l/hr,69.00816531,t/hr,0.383683534,t/l,15.70671623,%,9.838079876,MJ/kg,38.64575599,%,50.04710102,%,28.00918282,%,12.33856124,mm,0,l/t,8.294049064,%,10.34603775,%,25.01720079,%,2.86672552,%,"Aug 25, 2022","Aug 25, 2022"
Mcdonald,kelloe mains,bastle moor,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,4TH CUT,"Forage Harvesting Grass Forage - Oct 3, 2022",Grass Forage,16.38974421,ha,73.30981717,%,1.910340728,t/ha,31.30999588,t,7.157465875,t/ha,117.3090349,t,11.13065412,km/hr,4964.701,sec,11.88312842,ha/hr,94.11364798,l,5.742899546,l/ha,68.2436128,l/hr,85.05759768,t/hr,0.332616563,t/l,15.85288897,%,---,---,26.69018283,%,45.77103189,%,23.11081446,%,17.99962185,mm,0,l/t,13.56196433,%,8.801210894,%,19.43248233,%,---,---,"Oct 03, 2022","Oct 03, 2022"
Mcdonald,kelloe mains,birsby,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,1ST Cut,"Forage Harvesting Grass Forage - May 12, 2022",Grass Forage,15.38092012,ha,60.3470168,%,5.968088446,t/ha,91.79469165,t,15.05079307,t/ha,231.4950459,t,11.44278349,km/hr,5059.291,sec,10.94448064,ha/hr,120.5935818,l,7.840466035,l/ha,85.80982876,l/hr,164.7231134,t/hr,0.761190524,t/l,13.09204587,%,10.4037807,MJ/kg,39.6529832,%,46.40195181,%,26.84518701,%,16.90861521,mm,---,---,13.829272,%,8.739829008,%,25.06656692,%,2.727717289,%,"May 12, 2022","May 12, 2022"
Mcdonald,kelloe mains,birsby,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,2ND CUT,"Forage Harvesting Grass Forage - Jun 14, 2022",Grass Forage,15.80245423,ha,56.40162836,%,1.979826439,t/ha,31.28611667,t,4.541055925,t/ha,71.75982839,t,14.49171315,km/hr,3241.698,sec,17.54908545,ha/hr,68.36715048,l,4.326362823,l/ha,75.92371089,l/hr,79.69137847,t/hr,0.457619141,t/l,13.37620767,%,11.0817884,MJ/kg,43.59837164,%,42.5578516,%,22.95257934,%,15.9766,mm,---,---,17.66600174,%,8.332413077,%,21.97362193,%,2.74480844,%,"Jun 14, 2022","Jun 14, 2022"
Mcdonald,kelloe mains,birsby,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,3RD CUT,"Forage Harvesting Grass Forage - Jul 12, 2022",Grass Forage,15.86433963,ha,62.71796264,%,3.234741671,t/ha,51.31704046,t,8.676407996,t/ha,137.6454832,t,12.79833528,km/hr,3718.868,sec,15.35725996,ha/hr,92.00549746,l,5.799516377,l/ha,89.06468067,l/hr,133.2458532,t/hr,0.557757506,t/l,13.41095982,%,---,---,37.28203736,%,45.3018475,%,24.75047798,%,12.9794,mm,0,l/t,16.79111645,%,6.934726391,%,18.39516638,%,---,---,"Jul 12, 2022","Jul 12, 2022"
Mcdonald,kelloe mains,birsby,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,4TH CUT,"Forage Harvesting Grass Forage - Aug 25, 2022",Grass Forage,15.80068248,ha,65.77444803,%,1.892252423,t/ha,29.89887971,t,5.528771093,t/ha,87.35835652,t,15.07716401,km/hr,3055.897,sec,18.613326,ha/hr,67.13052192,l,4.248736803,l/ha,79.08312319,l/hr,102.9089277,t/hr,0.445338771,t/l,14.98328261,%,9.955552458,MJ/kg,34.22555197,%,50.0171537,%,27.38334042,%,12.9794,mm,0,l/t,9.785370366,%,9.813999695,%,24.59340045,%,2.85545209,%,"Aug 25, 2022","Aug 25, 2022"
Mcdonald,kelloe mains,birsby,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,5TH CUT,"Forage Harvesting Grass Forage - Oct 3, 2022",Grass Forage,15.87171811,ha,69.95954237,%,1.224981698,t/ha,19.4425642,t,4.077773092,t/ha,64.72126503,t,11.00012024,km/hr,4323.044,sec,13.2167451,ha/hr,80.91933957,l,5.0984793,l/ha,67.38530129,l/hr,53.8960659,t/hr,0.240265318,t/l,15.18512925,%,---,---,30.04045763,%,43.57844152,%,21.81110784,%,15.9766,mm,0,l/t,17.10840488,%,7.825314315,%,17.70986642,%,---,---,"Oct 03, 2022","Oct 03, 2022"
