Clients,Farms,Fields,Machine Name,Equipment,Operators,Varieties,Work,Crop Type,Area Harvested,Unit,Moisture,Unit,Dry Yield,Unit,Total Dry Yield,Unit,Wet Weight,Unit,Total Wet Weight,Unit,Speed,Unit,Harvest Time,Unit,Productivity,Unit,Total Fuel,Unit,Fuel Rate (Area),Unit,Fuel Rate (Time),Unit,Throughput (Wet),Unit,Throughput (Wet),Unit,Fuel Efficiency,Unit,Crude Protein,Unit,Metabolizable Energy,Unit,Dry Matter,Unit,Neutral Detergent Fiber,Unit,Acid Detergent Fiber,Unit,Length Of Cut,Unit,Inoculant Dosing High Rate,Unit,Inoculant Dosing High Total,Unit,Sugar,Unit,Crude Ash,Unit,Crude Fiber,Unit,Crude Fat,Unit,First Harvested,Last Harvested
Mcdonald,kelloe mains,birsby,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,1ST Cut,"Forage Harvesting Grass Forage - May 17, 2023",Grass Forage,15.69896014,ha,64.77270644,%,6.70089904,t/ha,105.1971469,t,19.02189571,t/ha,298.6239824,t,10.39097591,km/hr,4752.21,sec,11.89262606,ha/hr,133.1475048,l,8.481294533,l/ha,100.8648644,l/hr,---,---,226.2202926,t/hr,0.79007748,t/l,12.35911803,%,10.15279388,MJ/kg,35.22729356,%,49.5224745,%,26.44368557,%,21.9964,mm,0,l/t,---,---,12.02770976,%,8.668450104,%,26.96957718,%,2.916652795,%,"May 17, 2023","May 17, 2023"
Mcdonald,kelloe mains,birsby,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,2ND CUT,"Forage Harvesting Grass Forage - Jun 13, 2023",Grass Forage,15.82168899,ha,72.98068705,%,1.588105555,t/ha,25.12651219,t,5.877668165,t/ha,92.99463771,t,11.92541847,km/hr,3950.051,sec,14.41898286,ha/hr,76.38675937,l,4.828177838,l/ha,69.61741348,l/hr,---,---,84.75131184,t/hr,0.32890645,t/l,14.48987109,%,---,---,27.01931295,%,41.17131586,%,21.78652228,%,21.73520807,mm,0,l/t,---,---,17.27955086,%,8.58072959,%,16.37584701,%,---,---,"Jun 13, 2023","Jun 14, 2023"
Mcdonald,kelloe mains,birsby,8400i - SK16 GTY (R Wood),1Z08400YJGR515326,Unknown Operator,3RD CUT,"Forage Harvesting Grass Forage - Jul 20, 2023",Grass Forage,11.87263038,ha,67.43055312,%,3.661446957,t/ha,43.47100637,t,11.24196849,t/ha,133.4717367,t,13.52423712,km/hr,3813.881,sec,11.20627002,ha/hr,100.7124001,l,8.483151548,l/ha,95.06448688,l/hr,---,---,125.9835636,t/hr,0.43157473,t/l,---,---,---,---,32.56944688,%,---,---,---,---,17.98220992,mm,0,l/t,---,---,---,---,---,---,---,---,---,---,"Jul 20, 2023","Jul 20, 2023"
Mcdonald,kelloe mains,birsby,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,4TH CUT,"Forage Harvesting Grass Forage - Sep 10, 2023",Grass Forage,15.73527411,ha,67.53271117,%,4.059744112,t/ha,63.88118644,t,12.5041057,t/ha,196.7555307,t,11.00113896,km/hr,4979.251,sec,11.3762682,ha/hr,145.4340775,l,9.242827328,l/ha,105.1488826,l/hr,137.0072937,t/hr,137.0072937,t/hr,0.420111103,t/l,15.5373694,%,10.28743594,MJ/kg,32.46728883,%,50.44459034,%,23.82958535,%,14.986,mm,0,l/t,0,l,9.403192838,%,9.543258911,%,23.82185289,%,3.198461955,%,"Sep 10, 2023","Sep 10, 2023"
Mcdonald,kelloe mains,Craig mae,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,1ST Cut,"Forage Harvesting Grass Forage - May 19, 2023",Grass Forage,1.995973103,ha,70.26794673,%,7.111399135,t/ha,14.1941614,t,23.91829138,t/ha,47.74026627,t,7.793945173,km/hr,1045.781,sec,6.870944464,ha/hr,23.25299962,l,11.6499564,l/ha,80.04620341,l/hr,---,---,164.3412517,t/hr,0.610422811,t/l,13.39201399,%,9.793937621,MJ/kg,29.73205327,%,51.94497753,%,28.37665619,%,21.9964,mm,0,l/t,---,---,8.262860782,%,9.248241842,%,28.07197649,%,2.949518015,%,"May 19, 2023","May 19, 2023"
Mcdonald,kelloe mains,Craig mae,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,2ND CUT,"Forage Harvesting Grass Forage - Jun 13, 2023",Grass Forage,2.060358143,ha,35.12971094,%,1.403590326,t/ha,2.891898758,t,2.163687486,t/ha,4.45797113,t,10.3874055,km/hr,684.49,sec,10.83622743,ha/hr,9.649486636,l,4.675327903,l/ha,50.75041548,l/hr,---,---,23.44620968,t/hr,0.299658072,t/l,23.83282092,%,---,---,64.87028906,%,26.9716532,%,15.02638429,%,16.9926,mm,0,l/t,---,---,14.4788111,%,8.093935052,%,12.08385891,%,---,---,"Jun 13, 2023","Jun 13, 2023"
Mcdonald,kelloe mains,Craig mae,8400i - SK16 GTY (R Wood),1Z08400YJGR515326,Unknown Operator,3RD CUT,"Forage Harvesting Grass Forage - Jul 21, 2023",Grass Forage,1.984063399,ha,82.97306462,%,5.423540705,t/ha,10.7606486,t,31.85271209,t/ha,63.19780021,t,8.016747547,km/hr,842.788,sec,8.474999923,ha/hr,22.27503651,l,11.22697819,l/ha,95.14863932,l/hr,---,---,269.9517325,t/hr,0.482921583,t/l,---,---,---,---,17.02693538,%,---,---,---,---,17.9832,mm,0,l/t,---,---,---,---,---,---,---,---,---,---,"Jul 21, 2023","Jul 21, 2023"
Mcdonald,kelloe mains,Craig mae,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,4TH CUT,"Forage Harvesting Grass Forage - Oct 4, 2023",Grass Forage,1.969783899,ha,61.05114273,%,5.51876166,t/ha,10.87076786,t,14.1692518,t/ha,27.91036406,t,7.385601767,km/hr,981.379,sec,7.223462126,ha/hr,25.06100006,l,12.72678589,l/ha,91.93145585,l/hr,96.44559403,t/hr,96.44559403,t/hr,0.390882168,t/l,12.82437802,%,9.50454968,MJ/kg,38.94885727,%,48.95675901,%,26.51267205,%,15.93117628,mm,0,l/t,0,l,7.867454009,%,8.919757436,%,24.2732321,%,2.576142432,%,"Oct 04, 2023","Oct 04, 2023"
Mcdonald,kelloe mains,Dexters,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,1ST Cut,"Forage Harvesting Grass Forage - May 18, 2023",Grass Forage,12.54142229,ha,67.22489086,%,7.076702525,t/ha,88.75191476,t,21.59169782,t/ha,270.7906002,t,10.04720731,km/hr,4671.474,sec,9.664855297,ha/hr,128.5852714,l,10.25284601,l/ha,99.09227306,l/hr,---,---,208.680635,t/hr,0.690218357,t/l,11.95862315,%,10.15999213,MJ/kg,32.77510914,%,48.64588921,%,27.40274563,%,21.9964,mm,0,l/t,---,---,12.29946296,%,8.984900707,%,27.02812628,%,2.849583547,%,"May 18, 2023","May 18, 2023"
Mcdonald,kelloe mains,Dexters,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,2ND CUT,"Forage Harvesting Grass Forage - Jun 13, 2023",Grass Forage,12.67265366,ha,35.10445308,%,1.145273483,t/ha,14.51365419,t,1.764795178,t/ha,22.36463806,t,15.54226946,km/hr,2456.696,sec,18.56892734,ha/hr,47.63065148,l,3.758813578,l/ha,69.7971362,l/hr,---,---,32.7710814,t/hr,0.304695853,t/l,23.13110926,%,---,---,64.89554692,%,28.5658771,%,14.95296988,%,16.9926,mm,0,l/t,---,---,15.15996752,%,8.459484077,%,12.17037592,%,---,---,"Jun 13, 2023","Jun 13, 2023"
